timeStamp;elapsed;label;responseCode;responseMessage;threadName;dataType;success;failureMessage;bytes;sentBytes;grpThreads;allThreads;URL;Latency;IdleTime;Connect
1623610898948;1654;Leaderboard;200;OK;Sharp Games 1-1;text;TRUE;;1027;599;2;2;https://sharpauviluck.id/tampan.php;1651;0;654
1623610899801;1338;Leaderboard;200;OK;Sharp Games 1-2;text;TRUE;;1023;599;2;2;https://sharpauviluck.id/tampan.php;1338;0;390
1623610900779;1333;Leaderboard;200;OK;Sharp Games 1-3;text;TRUE;;1025;611;2;2;https://sharpauviluck.id/tampan.php;1333;0;393
1623610901779;1957;Leaderboard;200;OK;Sharp Games 1-4;text;TRUE;;1025;603;2;2;https://sharpauviluck.id/tampan.php;1957;0;404
1623610902779;1177;Leaderboard;200;OK;Sharp Games 1-5;text;TRUE;;1029;603;2;2;https://sharpauviluck.id/tampan.php;1177;0;405
1623610903779;1344;Leaderboard;200;OK;Sharp Games 1-6;text;TRUE;;1031;599;2;2;https://sharpauviluck.id/tampan.php;1344;0;404
1623610904779;1358;Leaderboard;200;OK;Sharp Games 1-7;text;TRUE;;1023;615;2;2;https://sharpauviluck.id/tampan.php;1358;0;398
1623610905779;1356;Leaderboard;200;OK;Sharp Games 1-8;text;TRUE;;1027;623;2;2;https://sharpauviluck.id/tampan.php;1356;0;389
1623610906778;1371;Leaderboard;200;OK;Sharp Games 1-9;text;TRUE;;1027;591;2;2;https://sharpauviluck.id/tampan.php;1371;0;404
1623610907778;1343;Leaderboard;200;OK;Sharp Games 1-10;text;TRUE;;1019;603;2;2;https://sharpauviluck.id/tampan.php;1343;0;389
1623610908779;810;Leaderboard;200;OK;Sharp Games 1-11;text;TRUE;;1025;591;1;1;https://sharpauviluck.id/tampan.php;810;0;393
1623610909779;1328;Leaderboard;200;OK;Sharp Games 1-12;text;TRUE;;1027;619;2;2;https://sharpauviluck.id/tampan.php;1328;0;394
1623610910780;1371;Leaderboard;200;OK;Sharp Games 1-13;text;TRUE;;1023;595;2;2;https://sharpauviluck.id/tampan.php;1369;0;401
1623610911789;1360;Leaderboard;200;OK;Sharp Games 1-14;text;TRUE;;1033;619;2;2;https://sharpauviluck.id/tampan.php;1360;0;402
1623610912789;1363;Leaderboard;200;OK;Sharp Games 1-15;text;TRUE;;1025;611;2;2;https://sharpauviluck.id/tampan.php;1363;0;416
1623610913779;1385;Leaderboard;200;OK;Sharp Games 1-16;text;TRUE;;1021;623;2;2;https://sharpauviluck.id/tampan.php;1384;0;406
1623610914781;825;Leaderboard;200;OK;Sharp Games 1-17;text;TRUE;;1023;611;1;1;https://sharpauviluck.id/tampan.php;825;0;404
1623610915781;801;Leaderboard;200;OK;Sharp Games 1-18;text;TRUE;;1035;619;1;1;https://sharpauviluck.id/tampan.php;801;0;386
1623610916781;1347;Leaderboard;200;OK;Sharp Games 1-19;text;TRUE;;1025;619;2;2;https://sharpauviluck.id/tampan.php;1347;0;402
1623610917780;1341;Leaderboard;200;OK;Sharp Games 1-20;text;TRUE;;1021;619;2;2;https://sharpauviluck.id/tampan.php;1341;0;403
1623610918779;1350;Leaderboard;200;OK;Sharp Games 1-21;text;TRUE;;1025;619;2;2;https://sharpauviluck.id/tampan.php;1350;0;396
1623610919781;1356;Leaderboard;200;OK;Sharp Games 1-22;text;TRUE;;1029;591;2;2;https://sharpauviluck.id/tampan.php;1347;0;404
1623610920781;824;Leaderboard;200;OK;Sharp Games 1-23;text;TRUE;;1035;607;1;1;https://sharpauviluck.id/tampan.php;823;0;401
1623610921780;1374;Leaderboard;200;OK;Sharp Games 1-24;text;TRUE;;1027;591;2;2;https://sharpauviluck.id/tampan.php;1374;0;407
1623610922781;1431;Leaderboard;200;OK;Sharp Games 1-25;text;TRUE;;1027;607;2;2;https://sharpauviluck.id/tampan.php;1427;0;406
1623610923781;1370;Leaderboard;200;OK;Sharp Games 1-26;text;TRUE;;1031;623;2;2;https://sharpauviluck.id/tampan.php;1369;0;404
1623610924781;825;Leaderboard;200;OK;Sharp Games 1-27;text;TRUE;;1031;595;1;1;https://sharpauviluck.id/tampan.php;825;0;403
1623610925780;813;Leaderboard;200;OK;Sharp Games 1-28;text;TRUE;;1023;631;1;1;https://sharpauviluck.id/tampan.php;813;0;393
1623610926781;846;Leaderboard;200;OK;Sharp Games 1-29;text;TRUE;;1029;595;1;1;https://sharpauviluck.id/tampan.php;845;0;408
1623610927782;1364;Leaderboard;200;OK;Sharp Games 1-30;text;TRUE;;1021;611;2;2;https://sharpauviluck.id/tampan.php;1364;0;406
1623610928779;805;Leaderboard;200;OK;Sharp Games 1-31;text;TRUE;;1027;595;1;1;https://sharpauviluck.id/tampan.php;805;0;385
1623610929778;1356;Leaderboard;200;OK;Sharp Games 1-32;text;TRUE;;1031;591;2;2;https://sharpauviluck.id/tampan.php;1355;0;410
1623610930779;1424;Leaderboard;200;OK;Sharp Games 1-33;text;TRUE;;1019;611;2;2;https://sharpauviluck.id/tampan.php;1424;0;417
1623610931780;1347;Leaderboard;200;OK;Sharp Games 1-34;text;TRUE;;1033;611;2;2;https://sharpauviluck.id/tampan.php;1346;0;401
1623610932779;1329;Leaderboard;200;OK;Sharp Games 1-35;text;TRUE;;1025;595;2;2;https://sharpauviluck.id/tampan.php;1329;0;394
1623610933779;1351;Leaderboard;200;OK;Sharp Games 1-36;text;TRUE;;1023;619;2;2;https://sharpauviluck.id/tampan.php;1351;0;412
1623610934780;1318;Leaderboard;200;OK;Sharp Games 1-37;text;TRUE;;1025;619;2;2;https://sharpauviluck.id/tampan.php;1318;0;389
1623610935782;1332;Leaderboard;200;OK;Sharp Games 1-38;text;TRUE;;1031;607;2;2;https://sharpauviluck.id/tampan.php;1332;0;394
1623610936779;1442;Leaderboard;200;OK;Sharp Games 1-39;text;TRUE;;1027;615;2;2;https://sharpauviluck.id/tampan.php;1441;0;466
1623610937779;1887;Leaderboard;200;OK;Sharp Games 1-40;text;TRUE;;1023;631;2;2;https://sharpauviluck.id/tampan.php;1882;0;401
1623610938780;1369;Leaderboard;200;OK;Sharp Games 1-41;text;TRUE;;1035;631;2;2;https://sharpauviluck.id/tampan.php;1369;0;404
1623610939780;1371;Leaderboard;200;OK;Sharp Games 1-42;text;TRUE;;1033;631;2;2;https://sharpauviluck.id/tampan.php;1371;0;408
1623610940779;1382;Leaderboard;200;OK;Sharp Games 1-43;text;TRUE;;1029;611;2;2;https://sharpauviluck.id/tampan.php;1381;0;403
1623610941780;822;Leaderboard;200;OK;Sharp Games 1-44;text;TRUE;;1023;623;1;1;https://sharpauviluck.id/tampan.php;819;0;403
1623610942781;833;Leaderboard;200;OK;Sharp Games 1-45;text;TRUE;;1033;603;1;1;https://sharpauviluck.id/tampan.php;833;0;409
