timeStamp;elapsed;label;responseCode;responseMessage;threadName;dataType;success;failureMessage;bytes;sentBytes;grpThreads;allThreads;URL;Latency;IdleTime;Connect
1623604786300;1636;Login;200;OK;Sharp Games 1-1;text;TRUE;;960;221;2;2;https://sharpauviluck.id/tampan.php;1633;0;689
1623604787155;1370;Login;200;OK;Sharp Games 1-2;text;TRUE;;954;221;2;2;https://sharpauviluck.id/tampan.php;1370;0;408
1623604788139;1382;Login;200;OK;Sharp Games 1-3;text;TRUE;;958;221;2;2;https://sharpauviluck.id/tampan.php;1381;0;414
1623604789139;1393;Login;200;OK;Sharp Games 1-4;text;TRUE;;960;221;2;2;https://sharpauviluck.id/tampan.php;1393;0;405
1623604790138;1370;Login;200;OK;Sharp Games 1-5;text;TRUE;;956;221;2;2;https://sharpauviluck.id/tampan.php;1368;0;414
1623604791139;1384;Login;200;OK;Sharp Games 1-6;text;TRUE;;962;221;2;2;https://sharpauviluck.id/tampan.php;1384;0;412
1623604792139;1325;Login;200;OK;Sharp Games 1-7;text;TRUE;;960;221;2;2;https://sharpauviluck.id/tampan.php;1325;0;392
1623604793139;794;Login;200;OK;Sharp Games 1-8;text;TRUE;;958;221;1;1;https://sharpauviluck.id/tampan.php;793;0;390
1623604794139;1348;Login;200;OK;Sharp Games 1-9;text;TRUE;;960;221;2;2;https://sharpauviluck.id/tampan.php;1348;0;411
1623604795143;1359;Login;200;OK;Sharp Games 1-10;text;TRUE;;960;221;2;2;https://sharpauviluck.id/tampan.php;1358;0;410
1623604796138;1380;Login;200;OK;Sharp Games 1-11;text;TRUE;;962;221;2;2;https://sharpauviluck.id/tampan.php;1380;0;408
1623604797162;1376;Login;200;OK;Sharp Games 1-12;text;TRUE;;966;221;2;2;https://sharpauviluck.id/tampan.php;1375;0;407
1623604798139;821;Login;200;OK;Sharp Games 1-13;text;TRUE;;960;221;1;1;https://sharpauviluck.id/tampan.php;816;0;405
1623604799139;2173;Login;200;OK;Sharp Games 1-14;text;TRUE;;956;221;3;3;https://sharpauviluck.id/tampan.php;2173;0;1207
1623604800150;1361;Login;200;OK;Sharp Games 1-15;text;TRUE;;958;221;2;2;https://sharpauviluck.id/tampan.php;1361;0;415
1623604801139;825;Login;200;OK;Sharp Games 1-16;text;TRUE;;958;221;1;1;https://sharpauviluck.id/tampan.php;825;0;413
1623604802140;1359;Login;200;OK;Sharp Games 1-17;text;TRUE;;960;221;2;2;https://sharpauviluck.id/tampan.php;1358;0;399
1623604803140;1341;Login;200;OK;Sharp Games 1-18;text;TRUE;;956;221;2;2;https://sharpauviluck.id/tampan.php;1341;0;408
1623604804140;1377;Login;200;OK;Sharp Games 1-19;text;TRUE;;970;221;2;2;https://sharpauviluck.id/tampan.php;1377;0;409
1623604805140;1397;Login;200;OK;Sharp Games 1-20;text;TRUE;;968;221;2;2;https://sharpauviluck.id/tampan.php;1397;0;421
1623604807139;833;Login;200;OK;Sharp Games 1-22;text;TRUE;;962;221;2;2;https://sharpauviluck.id/tampan.php;829;0;407
1623604806146;2172;Login;200;OK;Sharp Games 1-21;text;TRUE;;956;221;2;2;https://sharpauviluck.id/tampan.php;2171;0;402
1623604809139;1324;Login;200;OK;Sharp Games 1-24;text;TRUE;;952;221;3;3;https://sharpauviluck.id/tampan.php;1324;0;394
1623604808140;2429;Login;200;OK;Sharp Games 1-23;text;TRUE;;962;221;2;2;https://sharpauviluck.id/tampan.php;2427;0;1473
1623604810139;1392;Login;200;OK;Sharp Games 1-25;text;TRUE;;964;221;2;2;https://sharpauviluck.id/tampan.php;1392;0;389
1623604811141;1398;Login;200;OK;Sharp Games 1-26;text;TRUE;;962;221;2;2;https://sharpauviluck.id/tampan.php;1397;0;407
1623604812140;1351;Login;200;OK;Sharp Games 1-27;text;TRUE;;960;221;2;2;https://sharpauviluck.id/tampan.php;1351;0;385
