timeStamp;elapsed;label;responseCode;responseMessage;threadName;dataType;success;failureMessage;bytes;sentBytes;grpThreads;allThreads;URL;Latency;IdleTime;Connect
1623613129692;1669;Submit Score;200;OK;Sharp Games 1-1;text;TRUE;;958;777;2;2;https://sharpauviluck.id/tampan.php;1667;0;699
1623613130580;1353;Submit Score;200;OK;Sharp Games 1-2;text;TRUE;;958;757;2;2;https://sharpauviluck.id/tampan.php;1353;0;392
1623613131560;1362;Submit Score;200;OK;Sharp Games 1-3;text;TRUE;;960;752;2;2;https://sharpauviluck.id/tampan.php;1362;0;416
1623613132561;1323;Submit Score;200;OK;Sharp Games 1-4;text;TRUE;;956;777;2;2;https://sharpauviluck.id/tampan.php;1323;0;392
1623613133561;1373;Submit Score;200;OK;Sharp Games 1-5;text;TRUE;;960;772;2;2;https://sharpauviluck.id/tampan.php;1373;0;412
1623613134562;1353;Submit Score;200;OK;Sharp Games 1-6;text;TRUE;;964;802;2;2;https://sharpauviluck.id/tampan.php;1353;0;399
1623613135575;1362;Submit Score;200;OK;Sharp Games 1-7;text;TRUE;;962;762;2;2;https://sharpauviluck.id/tampan.php;1360;0;409
1623613136587;1343;Submit Score;200;OK;Sharp Games 1-8;text;TRUE;;964;767;2;2;https://sharpauviluck.id/tampan.php;1341;0;393
1623613137561;1358;Submit Score;200;OK;Sharp Games 1-9;text;TRUE;;962;757;2;2;https://sharpauviluck.id/tampan.php;1358;0;401
1623613138560;1356;Submit Score;200;OK;Sharp Games 1-10;text;TRUE;;958;777;2;2;https://sharpauviluck.id/tampan.php;1356;0;399
1623613139561;1359;Submit Score;200;OK;Sharp Games 1-11;text;TRUE;;954;797;2;2;https://sharpauviluck.id/tampan.php;1359;0;402
1623613140561;1340;Submit Score;200;OK;Sharp Games 1-12;text;TRUE;;958;767;2;2;https://sharpauviluck.id/tampan.php;1340;0;383
1623613141561;1368;Submit Score;200;OK;Sharp Games 1-13;text;TRUE;;958;777;2;2;https://sharpauviluck.id/tampan.php;1368;0;404
1623613142561;1338;Submit Score;200;OK;Sharp Games 1-14;text;TRUE;;968;767;2;2;https://sharpauviluck.id/tampan.php;1338;0;400
1623613143571;1354;Submit Score;200;OK;Sharp Games 1-15;text;TRUE;;958;772;2;2;https://sharpauviluck.id/tampan.php;1353;0;397
